item_id,brand_id,code,floss_name,rgb,order,color_id,inv_qty,wish_qty
114880,89495731,810,NULL,"{""b"": 170, ""g"": 195, ""r"": 205}",407,NULL,0,0
147544,32095163,926,NULL,"{""b"": 27, ""g"": 61, ""r"": 51}",219,NULL,0,0
161722,32095163,902,NULL,"{""b"": 100, ""g"": 116, ""r"": 5}",296,NULL,0,0
220046,32095163,266,NULL,"{""b"": 99, ""g"": 52, ""r"": 84}",411,NULL,0,0
232926,27219674,3371,NULL,"{""b"": 19, ""g"": 22, ""r"": 27}",428,NULL,0,0
236184,89495731,1122,NULL,"{""b"": 35, ""g"": 18, ""r"": 139}",90,NULL,0,0
364743,27219674,24,NULL,"{""b"": 222, ""g"": 215, ""r"": 229}",86,NULL,0,0
422770,32095163,764,NULL,"{""b"": 100, ""g"": 78, ""r"": 97}",397,NULL,0,0
572042,32095163,526,NULL,"{""b"": 158, ""g"": 96, ""r"": 56}",362,NULL,0,0
596022,27219674,154,NULL,"{""b"": 44, ""g"": 35, ""r"": 51}",85,NULL,0,0
620414,89495731,765,NULL,"{""b"": 88, ""g"": 111, ""r"": 173}",386,NULL,0,0
718401,27219674,3790,NULL,"{""b"": 56, ""g"": 83, ""r"": 96}",446,NULL,0,0
725629,32095163,462,NULL,"{""b"": 122, ""g"": 154, ""r"": 213}",116,NULL,0,0
742791,89495731,512,NULL,"{""b"": 16, ""g"": 135, ""r"": 194}",281,NULL,0,0
1084069,32095163,2028,NULL,"{""b"": 106, ""g"": 95, ""r"": 97}",390,NULL,0,0
1111131,89495731,792,NULL,"{""b"": 121, ""g"": 141, ""r"": 185}",397,NULL,0,0
1166210,27219674,3740,NULL,"{""b"": 72, ""g"": 68, ""r"": 90}",103,NULL,0,0
1200559,27219674,3821,NULL,"{""b"": 66, ""g"": 162, ""r"": 186}",321,NULL,0,0
1228167,89495731,143,NULL,"{""b"": 91, ""g"": 100, ""r"": 224}",31,NULL,0,0
1357835,27219674,758,NULL,"{""b"": 112, ""g"": 130, ""r"": 191}",391,NULL,0,0
1401088,27219674,420,NULL,"{""b"": 40, ""g"": 88, ""r"": 131}",306,NULL,0,0
1454657,89495731,604,NULL,"{""b"": 84, ""g"": 12, ""r"": 55}",322,NULL,0,0
1490117,32095163,552,NULL,"{""b"": 189, ""g"": 178, ""r"": 186}",384,NULL,0,0
