id,category_id
114880,34111
147544,34111
161722,34111
220046,34111
232926,34111
236184,34111
364743,34111
422770,34111
481106,16623
572042,34111
596022,34111
620414,34111
718401,34111
725629,34111
742791,34111
1049913,16623
1084069,34111
1111131,34111
1166210,34111
1200559,34111
1228167,34111
1357835,34111
1401088,34111
1454657,34111
1490117,34111
1509876,34111
1521825,34111
1607769,16623
1811795,34111
1890971,34111
2042792,34111
2197857,34111
2244319,16623
2346320,34111
2409142,34111
2419258,34111
2531296,34111
2556794,34111
2564478,34111
2570095,34111
2704388,16623
2722542,34111
2750046,34111
2821117,16623
2957013,34111
2965948,34111
3114984,34111
3182000,34111
3295791,34111
3336799,34111
3475826,34111
3515904,34111
3623934,34111
3625796,34111
3700316,34111
3735858,34111
3738940,34111
3769182,34111
3797469,34111
3938918,34111
3994178,34111
4078339,34111
4081524,34111
4259130,16623
4302026,34111
4386192,34111
4414073,34111
4459694,34111
4494764,16623
4565966,16623
4615375,34111
4665756,16623
4814603,34111
4821163,34111
5020349,34111
5095532,16623
5113616,34111
5289535,34111
5504528,34111
5505325,34111
5541536,34111
5566962,34111
5611611,34111
5840474,34111
5981420,34111
6003781,34111
6175849,34111
6203102,34111
6208040,34111
6403381,16623
6456682,34111
6461712,34111
6480727,16623
6657320,34111
6800744,34111
6875722,34111
6920081,34111
7099675,16623
7204172,34111
7220735,34111
7283155,34111
7376265,34111
7441465,34111
7462715,34111
7524630,34111
7590919,34111
7602611,16623
7638016,16623
8012396,34111
8044112,34111
8052741,34111
8125748,16623
8142700,34111
8183091,16623
8225481,34111
8338269,34111
8501089,16623
8507274,16623
8532776,16623
8624170,16623
8800856,34111
8829588,34111
8887494,16623
8902359,34111
8914764,34111
9015355,34111
9019918,16623
9110093,34111
9193382,34111
9204673,34111
9256837,34111
9266777,34111
9304161,34111
9327341,34111
9383450,34111
9526698,34111
9541416,34111
9643124,16623
9708809,34111
9870600,34111
9901666,34111
10034592,34111
10043349,34111
10161523,34111
10213138,34111
10243050,34111
10250661,34111
10265217,34111
10329382,34111
10363420,34111
10484188,34111
10509223,16623
10516826,34111
10588815,16623
10614878,16623
10649671,34111
10671497,34111
10742755,34111
10770647,34111
10790256,34111
10809491,34111
10857950,34111
10911230,16623
11011528,34111
11023053,34111
11029448,16623
11064202,34111
11086192,34111
11108719,34111
11171135,34111
11177237,34111
11304511,34111
11353883,34111
