item_id,brand_id,code,rgb,series_id,pencil_name,color_id,order,inv_qty,wish_qty
481106,93698434,233,"{""b"": 152, ""g"": 178, ""r"": 142}",NULL,"{""en"": ""cold grey IV"", ""ja"": """"}",NULL,113,0,0
1049913,45853241,OP 436,"{""b"": 188, ""g"": 134, ""r"": 184}",NULL,"{""en"": ""fuchsia"", ""ja"": ""フクシア""}",NULL,109,0,0
1607769,45853241,OP 028,"{""b"": 104, ""g"": 136, ""r"": 235}",NULL,"{""en"": ""salmon pink"", ""ja"": ""サーモンピンク""}",NULL,5,0,0
2244319,93698434,174,"{""b"": 79, ""g"": 113, ""r"": 101}",NULL,"{""en"": ""chromium green opaque"", ""ja"": """"}",NULL,76,0,0
2704388,45853241,OP 123,"{""b"": 147, ""g"": 206, ""r"": 234}",NULL,"{""en"": ""flesh"", ""ja"": ""フレッシュ""}",NULL,32,0,0
2821117,45853241,OP 255,"{""b"": 72, ""g"": 118, ""r"": 45}",NULL,"{""en"": ""malachite green"", ""ja"": ""マラカイトグリーン""}",NULL,69,0,0
4259130,93698434,185,"{""b"": 90, ""g"": 210, ""r"": 248}",NULL,"{""en"": ""Naples yellow"", ""ja"": """"}",NULL,92,0,0
4494764,93698434,129,"{""b"": 178, ""g"": 137, ""r"": 243}",NULL,"{""en"": ""pink madder lake"", ""ja"": """"}",NULL,30,0,0
4565966,93698434,165,"{""b"": 77, ""g"": 105, ""r"": 68}",NULL,"{""en"": ""juniper green"", ""ja"": """"}",NULL,72,0,0
4665756,45853241,OP 710,"{""b"": 165, ""g"": 96, ""r"": 174}",NULL,"{""en"": ""luminous rose"", ""ja"": ""ルミナスローズ""}",NULL,146,0,0
5095532,45853241,OP 277,"{""b"": 151, ""g"": 173, ""r"": 102}",NULL,"{""en"": ""celadon"", ""ja"": ""セラドン""}",NULL,79,0,0
6403381,93698434,161,"{""b"": 145, ""g"": 176, ""r"": 0}",NULL,"{""en"": ""phthalo green"", ""ja"": """"}",NULL,62,0,0
